                    Name      Mass  Radius  Orbit  Smass  Distance  Habitable           Method  Year  Unnamed: 9
356            HATS-14 b    340.51   11.64   0.04   0.97    513.00          0  Primary Transit  2015         NaN
357            HATS-15 b    689.93   12.38   0.03   0.87    689.00          0  Primary Transit  2014         NaN
358            HATS-16 b   1039.66   14.56   0.04   0.97    774.00          0  Primary Transit  2015         NaN
359            HATS-17 b    425.40    8.70   0.13   1.13    339.00          0  Primary Transit  2016         NaN
360            HATS-18 b    629.52   14.97   0.02   1.04    645.00          0  Primary Transit  2016         NaN
361            HATS-19 b    135.76   18.59   0.06   1.30    780.00          0  Primary Transit  2016         NaN
362            HATS-20 b     86.80    8.69   0.04   0.91    454.00          0  Primary Transit  2016         NaN
363            HATS-21 b    105.56   12.58   0.05   1.08    286.00          0  Primary Transit  2016         NaN
364            HATS-22 b    871.16   10.67   0.05   0.76    207.90          0  Primary Transit  2016         NaN
365            HATS-23 b    467.37   20.83   0.03   1.12    747.00          0  Primary Transit  2015         NaN
366            HATS-24 b    775.77   16.65   0.02   1.21    510.00          0  Primary Transit  2016         NaN
367            HATS-25 b    194.90   14.11   0.05   0.99    466.00          0  Primary Transit  2016         NaN
368            HATS-26 b    206.66   19.60   0.05   1.30    907.00          0  Primary Transit  2016         NaN
369            HATS-27 b    168.51   16.80   0.06   1.42    840.00          0  Primary Transit  2016         NaN
370            HATS-28 b    213.66   13.37   0.04   0.93    521.00          0  Primary Transit  2016         NaN
371            HATS-29 b    207.61   14.01   0.05   1.03    351.00          0  Primary Transit  2016         NaN
372            HATS-30 b    224.47   13.16   0.04   1.09    339.00          0  Primary Transit  2016         NaN
373            HATS-31 b    279.79   18.37   0.05   1.27    872.00          0  Primary Transit  2016         NaN
374            HATS-32 b    292.50   13.99   0.04   1.10    839.00          0  Primary Transit  2016         NaN
375            HATS-33 b    378.98   13.78   0.04   1.06    355.00          0  Primary Transit  2016         NaN
376            HATS-34 b    299.18   16.02   0.03   0.95    532.00          0  Primary Transit  2016         NaN
377            HATS-35 b    388.52   16.40   0.03   1.32    557.00          0  Primary Transit  2016         NaN
378            HATS-36 b    887.05   14.15   0.05   1.14    977.00          0  Primary Transit  2017         NaN
379            HATS-39 b    200.30   17.58   0.06   1.38    773.00          0  Primary Transit  2018         NaN
380            HATS-40 b    505.52   17.70   0.05   1.56   1431.00          0  Primary Transit  2018         NaN
381            HATS-41 b   3084.02   14.90   0.05   1.50    800.00          0  Primary Transit  2018         NaN
382            HATS-42 b    597.73   15.68   0.04   1.27    942.00          0  Primary Transit  2018         NaN
383            HATS-43 b     82.98   13.22   0.05   0.84    341.00          0  Primary Transit  2017         NaN
384            HATS-44 b    178.05   11.95   0.04   0.86    463.00          0  Primary Transit  2017         NaN
385            HATS-45 b    222.56   14.40   0.05   1.27    818.00          0  Primary Transit  2017         NaN
386            HATS-46 b     55.00   10.11   0.04   0.92    448.00          0  Primary Transit  2017         NaN
387            HATS-50 b    124.00   12.66   0.04   1.17    717.00          0  Primary Transit  2017         NaN
388            HATS-51 b    244.18   15.79   0.04   1.19    478.00          0  Primary Transit  2017         NaN
389            HATS-52 b    712.19   15.48   0.02   1.11    631.00          0  Primary Transit  2017         NaN
390            HATS-53 b    189.17   15.01   0.04   0.96    613.00          0  Primary Transit  2017         NaN
391            HATS-59 b    256.26   12.61   0.06   1.04    654.00          0  Primary Transit  2018         NaN
408            HD 3167 b      5.02    1.70   0.02   0.88     45.80          0  Primary Transit  2016         NaN
409            HD 3167 c      9.79    3.01   0.17   0.88     45.80          0  Primary Transit  2016         NaN
448           HD 10442 b    667.67   11.31   2.32   1.56       NaN          0  Primary Transit  2014         NaN
472           HD 17156 b   1015.82   12.26   0.12   1.27     78.24          0  Primary Transit  2007         NaN
606           HD 75784 b    365.63   10.51   1.06   1.41     68.70          0  Primary Transit  2014         NaN
607           HD 75784 c   1780.46   11.68   6.06   1.41     68.70          0  Primary Transit  2015         NaN
614           HD 80606 b   1252.68   10.32   0.16   0.98     58.40          0  Primary Transit  2001         NaN
634           HD 89345 b     32.75    6.90   0.11   1.23    126.60          0  Primary Transit  2018         NaN
652           HD 97658 b      7.55    2.25   0.08   0.85     21.10          0  Primary Transit  2010         NaN
675          HD 106315 b     12.59    2.44   0.09   1.07    107.30          0  Primary Transit  2017         NaN
676          HD 106315 c     15.20    3.94   0.15   1.07    107.30          0  Primary Transit  2017         NaN
766          HD 149026 b    113.50    8.04   0.04   1.30     78.90          0  Primary Transit  2005         NaN
844          HD 189733 b    363.09   12.75   0.03   0.80     19.30          0  Primary Transit  2005         NaN
854          HD 195689 b       NaN     NaN    NaN    NaN       NaN          0  Primary Transit  2017         NaN
876          HD 209458 b    219.38   15.46   0.05   1.15     47.00          0  Primary Transit  1999         NaN
901          HD 219134 b      3.82    1.60   0.04   0.79      6.55          0  Primary Transit  2015         NaN
927          HD 283869 b      9.49    1.96   0.40   0.74     47.51          1  Primary Transit  2018         NaN
930          HD 286123 b    126.54   11.20   0.10   1.19    133.10          0  Primary Transit  2018         NaN
942          HIP 41378 b      4.80    2.91   0.13   1.15    116.00          0  Primary Transit  2016         NaN
943          HIP 41378 c      3.15    2.55   0.21   1.15    116.00          0  Primary Transit  2016         NaN
944          HIP 41378 d     12.30    3.95   0.60   1.15    116.00          0  Primary Transit  2016         NaN
945          HIP 41378 e     33.25    5.51   0.53   1.15    116.00          0  Primary Transit  2016         NaN
946          HIP 41378 f    304.86   10.19   0.97   1.15    116.00          0  Primary Transit  2016         NaN
978         HIP 116454 b     11.83    2.53   0.10   0.78     55.20          0  Primary Transit  2014         NaN
991              J1433 b  18154.37    8.99   0.00   0.80       NaN          0  Primary Transit  2016         NaN
1106             K2-95 b    530.96    3.70   0.06   0.43       NaN          0  Primary Transit  2016         NaN
1107             K2-97 b    349.73   14.67   0.08   1.16       NaN          0  Primary Transit  2016         NaN
1108             K2-99 b    308.40   14.45   0.16   1.60    604.00          0  Primary Transit  2016         NaN
1109            K2-105 b     29.89    3.58   0.08   1.01    220.00          0  Primary Transit  2017         NaN
1110            K2-106 b      8.36    1.52   0.01   0.93    253.00          0  Primary Transit  2016         NaN
1111            K2-106 c      5.72    2.46   0.10   0.93    253.00          0  Primary Transit  2016         NaN
